Gender,Age,Debt,YearsEmployed,NoPriorDefault,Employed,CreditScore,DriversLicense,ZipCode,Income,Approved
b,21.92,0.5,0.125,f,f,0,f,360.0,0,-
a,36.58,0.29,0.0,f,t,10,f,200.0,18,-
a,23.0,1.835,0.0,f,t,1,f,200.0,53,-
a,27.58,3.0,2.79,f,t,1,t,280.0,10,-
b,31.08,3.085,2.5,f,t,2,t,160.0,41,-
a,30.42,1.375,0.04,f,t,3,f,0.0,33,-
b,22.08,2.335,0.75,f,f,0,f,180.0,0,-
b,16.33,4.085,0.415,f,f,0,t,120.0,0,-
a,21.92,11.665,0.085,f,f,0,f,320.0,5,-
b,21.08,4.125,0.04,f,f,0,f,140.0,100,-
b,17.42,6.5,0.125,f,f,0,f,60.0,100,-
b,19.17,4.0,1.0,f,f,0,t,360.0,1000,-
b,20.67,0.415,0.125,f,f,0,f,0.0,44,-
b,26.75,2.0,0.75,f,f,0,t,80.0,0,-
b,23.58,0.835,0.085,f,f,0,t,220.0,5,-
b,39.17,2.5,10.0,f,f,0,t,200.0,0,-
b,22.75,11.5,0.415,f,f,0,f,0.0,0,-
,26.5,2.71,0.085,f,f,0,f,80.0,0,-
a,16.92,0.5,0.165,f,t,6,t,240.0,35,-
b,23.5,3.165,0.415,f,t,1,t,280.0,80,-
a,17.33,9.5,1.75,f,t,10,t,0.0,10,-
b,23.75,0.415,0.04,f,t,2,f,128.0,6,-
b,34.67,1.08,1.165,f,f,0,f,28.0,0,-
b,74.83,19.0,0.04,f,t,2,f,0.0,351,-
b,28.17,0.125,0.085,f,f,0,f,216.0,2100,-
b,24.5,13.335,0.04,f,f,0,t,120.0,475,-
b,18.83,3.54,0.0,f,f,0,t,180.0,1,-
,45.33,1.0,0.125,f,f,0,t,263.0,0,-
a,47.25,0.75,2.75,t,t,1,f,333.0,892,+
b,24.17,0.875,4.625,t,t,2,t,520.0,2000,+
b,39.25,9.5,6.5,t,t,14,f,240.0,4607,+
a,20.5,11.835,6.0,t,f,0,f,340.0,0,+
a,18.83,4.415,3.0,t,f,0,f,240.0,0,+
b,19.17,9.5,1.5,t,f,0,f,120.0,2206,+
a,25.0,0.875,1.04,t,f,0,t,160.0,5860,+
b,20.17,9.25,1.665,t,t,3,t,40.0,28,+
b,25.75,0.5,1.46,t,t,5,t,312.0,0,+
b,20.42,7.0,1.625,t,t,3,f,200.0,1391,+
b,,4.0,5.0,t,t,3,t,290.0,2279,+
b,39.0,5.0,3.5,t,t,10,t,0.0,0,+
a,64.08,0.165,0.0,t,t,1,f,232.0,100,+
b,28.25,5.125,4.75,t,t,2,f,420.0,7,+
a,28.75,3.75,1.085,t,t,1,t,371.0,0,+
b,31.33,19.5,7.0,t,t,16,f,0.0,5000,+
a,18.92,9.0,0.75,t,t,2,f,88.0,591,+
a,24.75,3.0,1.835,t,t,19,f,0.0,500,+
a,30.67,12.0,2.0,t,t,1,f,220.0,19,+
b,21.0,4.79,2.25,t,t,1,t,80.0,300,+
b,13.75,4.0,1.75,t,t,2,t,120.0,1000,+
a,46.0,4.0,0.0,t,f,0,f,100.0,960,+
a,44.33,0.0,2.5,t,f,0,f,0.0,0,+
b,20.25,9.96,0.0,t,f,0,f,0.0,0,+
b,22.67,2.54,2.585,t,f,0,f,0.0,0,+
b,,10.5,6.5,t,f,0,f,0.0,0,+
a,60.92,5.0,4.0,t,t,4,f,0.0,99,+
b,16.08,0.75,1.75,t,t,5,t,352.0,690,+
a,28.17,0.375,0.585,t,t,4,f,80.0,0,+
b,39.17,1.71,0.125,t,t,5,t,480.0,0,+
,20.42,7.5,1.5,t,t,1,f,160.0,234,+
a,30.0,5.29,2.25,t,t,5,t,99.0,500,+
b,22.83,3.0,1.29,t,t,1,f,260.0,800,+
a,22.5,8.5,1.75,t,t,10,f,80.0,990,-
a,28.58,1.665,2.415,t,f,0,t,440.0,0,-
b,45.17,1.5,2.5,t,f,0,t,140.0,0,-
b,41.58,1.75,0.21,t,f,0,f,160.0,0,-
a,57.08,0.335,1.0,t,f,0,t,252.0,2197,-
a,55.75,7.08,6.75,t,t,3,t,100.0,50,-
b,43.25,25.21,0.21,t,t,1,f,760.0,90,-
a,25.33,2.085,2.75,t,f,0,t,360.0,1,-
a,24.58,0.67,1.75,t,f,0,f,400.0,0,-
b,43.17,2.25,0.75,t,f,0,f,560.0,0,-
b,40.92,0.835,0.0,t,f,0,f,130.0,1,-
b,31.83,2.5,7.5,t,f,0,t,523.0,0,-
a,33.92,1.585,0.0,t,f,0,f,320.0,0,-
a,24.92,1.25,0.0,t,f,0,f,80.0,0,-
b,35.25,3.165,3.75,t,f,0,t,680.0,0,-
b,34.25,1.75,0.25,t,f,0,t,163.0,0,-
b,80.25,5.5,0.54,t,f,0,f,0.0,340,-
b,19.42,1.5,2.0,t,f,0,t,100.0,20,-
b,42.75,3.0,1.0,t,f,0,f,0.0,200,-
b,19.67,10.0,0.835,t,f,0,t,140.0,0,-
b,36.33,3.79,1.165,t,f,0,t,200.0,0,-
b,30.08,1.04,0.5,t,t,10,t,132.0,28,-
b,44.25,11.0,1.5,t,f,0,f,0.0,0,-
b,23.58,0.46,2.625,t,t,6,t,208.0,347,-
b,23.92,1.5,1.875,t,t,6,f,200.0,327,+
b,33.17,1.0,0.75,t,t,7,t,340.0,4071,+
b,48.33,12.0,16.0,t,f,0,f,110.0,0,+
b,76.75,22.29,12.75,t,t,1,t,0.0,109,+
b,51.33,10.0,0.0,t,t,11,f,0.0,1249,+
b,34.75,15.0,5.375,t,t,9,t,0.0,134,+
b,38.58,3.335,4.0,t,t,14,f,383.0,1344,+
a,22.42,11.25,0.75,t,t,4,f,0.0,321,+
b,41.92,0.42,0.21,t,t,6,f,220.0,948,+
b,29.58,4.5,7.5,t,t,2,t,330.0,0,+
a,32.17,1.46,1.085,t,t,16,f,120.0,2079,+
b,51.42,0.04,0.04,t,f,0,f,0.0,3000,+
a,22.83,2.29,2.29,t,t,7,t,140.0,2384,+
a,25.0,12.33,3.5,t,t,6,f,400.0,458,+
b,26.75,1.125,1.25,t,f,0,f,0.0,5298,+
b,23.33,1.5,1.415,t,f,0,f,422.0,200,+
b,24.42,12.335,1.585,t,f,0,t,120.0,0,+
b,42.17,5.04,12.75,t,f,0,t,92.0,0,+
a,20.83,3.0,0.04,t,f,0,f,100.0,0,+
b,23.08,11.5,2.125,t,t,11,t,290.0,284,+
a,25.17,2.875,0.875,t,f,0,f,360.0,0,+
b,43.08,0.375,0.375,t,t,8,t,300.0,162,+
a,35.75,0.915,0.75,t,t,4,f,0.0,1583,+
b,59.5,2.75,1.75,t,t,5,t,60.0,58,+
b,21.0,3.0,1.085,t,t,8,t,160.0,1,+
b,21.92,0.54,0.04,t,t,1,t,840.0,59,+
a,65.17,14.0,0.0,t,t,11,t,0.0,1400,+
a,20.33,10.0,1.0,t,t,4,f,50.0,1465,+
b,32.25,0.165,3.25,t,t,1,t,432.0,8000,+
b,30.17,0.5,1.75,t,t,11,f,32.0,540,+
b,25.17,6.0,1.0,t,t,3,f,0.0,0,+
b,39.17,1.625,1.5,t,t,10,f,186.0,4700,+
b,39.08,6.0,1.29,t,t,5,t,108.0,1097,+
b,31.67,0.83,1.335,t,t,8,t,303.0,3290,+
b,41.0,0.04,0.04,f,t,1,f,560.0,0,+
b,48.5,4.25,0.125,t,f,0,t,225.0,0,+
b,32.67,9.0,5.25,t,f,0,t,154.0,0,+
a,28.08,15.0,0.0,t,f,0,f,0.0,13212,+
b,73.42,17.75,0.0,t,f,0,t,0.0,0,+
b,64.08,20.0,17.5,t,t,9,t,0.0,1000,+
b,51.58,15.0,8.5,t,t,9,f,0.0,0,+
b,26.67,1.75,1.0,t,t,5,t,160.0,5777,+
b,25.33,0.58,0.29,t,t,7,t,96.0,5124,+
b,30.17,6.5,3.125,t,t,8,f,330.0,1200,+
b,27.0,0.75,4.25,t,t,3,t,312.0,150,+
b,23.17,0.0,0.0,f,f,0,f,,0,+
b,34.17,5.25,0.085,f,f,0,t,290.0,6,+
b,38.67,0.21,0.085,t,f,0,t,280.0,0,+
b,25.75,0.75,0.25,t,f,0,f,349.0,23,+
a,46.08,3.0,2.375,t,t,8,t,396.0,4159,+
a,21.5,6.0,2.5,t,t,3,f,80.0,918,+
,20.08,0.125,1.0,f,t,1,f,240.0,768,+
b,20.5,2.415,2.0,t,t,11,t,200.0,3000,+
a,29.5,0.46,0.54,t,t,4,f,380.0,500,+
,42.25,1.75,0.0,f,f,0,t,150.0,1,-
b,29.83,1.25,0.25,f,f,0,f,224.0,0,-
b,20.08,0.25,0.125,f,f,0,f,200.0,0,-
b,23.42,0.585,0.085,t,f,0,f,180.0,0,-
a,29.58,1.75,1.25,f,f,0,t,280.0,0,-
b,16.17,0.04,0.04,f,f,0,f,0.0,0,+
b,32.33,3.5,0.5,f,f,0,t,232.0,0,-
b,,0.04,4.25,f,f,0,t,460.0,0,-
b,47.83,4.165,0.085,f,f,0,t,520.0,0,-
b,20.0,1.25,0.125,f,f,0,f,140.0,4,-
b,27.58,3.25,5.085,f,t,2,t,369.0,1,-
b,22.0,0.79,0.29,f,t,1,f,420.0,283,-
b,19.33,10.915,0.585,f,t,2,t,200.0,7,-
a,38.33,4.415,0.125,f,f,0,f,160.0,0,-
b,29.42,1.25,0.25,f,t,2,t,400.0,108,-
b,22.67,0.75,1.585,f,t,1,t,400.0,9,-
b,32.25,14.0,0.0,f,t,2,f,160.0,1,-
b,29.58,4.75,2.0,f,t,1,t,460.0,68,-
b,18.42,10.415,0.125,t,f,0,f,120.0,375,-
b,22.17,2.25,0.125,f,f,0,f,160.0,10,-
b,22.67,0.165,2.25,f,f,0,t,0.0,0,+
a,25.58,0.0,0.0,f,f,0,f,,0,+
b,18.83,0.0,0.665,f,f,0,f,160.0,1,-
b,21.58,0.79,0.665,f,f,0,f,160.0,0,-
b,23.75,12.0,2.085,f,f,0,f,80.0,0,-
b,22.0,7.835,0.165,f,f,0,t,,0,-
b,36.08,2.54,0.0,f,f,0,f,0.0,1000,-
b,29.25,13.0,0.5,f,f,0,f,228.0,0,-
a,19.58,0.665,1.665,f,f,0,f,220.0,5,-
a,22.92,1.25,0.25,f,f,0,t,120.0,809,-
a,27.25,0.29,0.125,f,t,1,t,272.0,108,-
a,38.75,1.5,0.0,f,f,0,f,76.0,0,-
b,32.42,2.165,0.0,f,f,0,f,120.0,0,-
a,23.75,0.71,0.25,f,t,1,t,240.0,4,-
b,18.17,2.46,0.96,f,t,2,t,160.0,587,-
b,40.92,0.5,0.5,f,f,0,t,130.0,0,-
b,19.5,9.585,0.79,f,f,0,f,80.0,350,-
b,28.58,3.625,0.25,f,f,0,t,100.0,0,-
b,35.58,0.75,1.5,f,f,0,t,231.0,0,-
b,34.17,2.75,2.5,f,f,0,t,232.0,200,-
,33.17,2.25,3.5,f,f,0,t,200.0,141,-
b,31.58,0.75,3.5,f,f,0,t,320.0,0,-
a,52.5,7.0,3.0,f,f,0,f,0.0,0,-
b,36.17,0.42,0.29,f,f,0,t,309.0,2,-
b,37.33,2.665,0.165,f,f,0,t,0.0,501,-
a,20.83,8.5,0.165,f,f,0,f,0.0,351,-
b,24.08,9.0,0.25,f,f,0,t,0.0,0,-
b,25.58,0.335,3.5,f,f,0,t,340.0,0,-
a,35.17,3.75,0.0,f,t,6,f,0.0,200,-
b,48.08,3.75,1.0,f,f,0,f,100.0,2,-
a,15.83,7.625,0.125,f,t,1,t,0.0,160,-
a,22.5,0.415,0.335,f,f,0,t,144.0,0,-
b,21.5,11.5,0.5,t,f,0,t,100.0,68,-
a,23.58,0.83,0.415,f,t,1,t,200.0,11,-
a,21.08,5.0,0.0,f,f,0,f,0.0,0,-
b,25.67,3.25,2.29,f,t,1,t,416.0,21,-
a,38.92,1.665,0.25,f,f,0,f,0.0,390,-
a,15.75,0.375,1.0,f,f,0,f,120.0,18,-
a,28.58,3.75,0.25,f,t,1,t,40.0,154,-
b,22.25,9.0,0.085,f,f,0,f,0.0,0,-
b,29.83,3.5,0.165,f,f,0,f,216.0,0,-
a,23.5,1.5,0.875,f,f,0,t,160.0,0,-
b,32.08,4.0,1.5,f,f,0,t,120.0,0,-
b,31.08,1.5,0.04,f,f,0,f,160.0,0,-
b,31.83,0.04,0.04,f,f,0,f,0.0,0,-
a,21.75,11.75,0.25,f,f,0,t,180.0,0,-
a,17.92,0.54,1.75,f,t,1,t,80.0,5,-
b,30.33,0.5,0.085,f,f,0,t,252.0,0,-
b,51.83,2.04,1.5,f,f,0,f,120.0,1,-
b,47.17,5.835,5.5,f,f,0,f,465.0,150,-
b,25.83,12.835,0.5,f,f,0,f,0.0,2,-
a,50.25,0.835,0.5,f,f,0,t,240.0,117,-
,29.5,2.0,2.0,f,f,0,f,256.0,17,-
a,37.33,2.5,0.21,f,f,0,f,260.0,246,-
a,41.58,1.04,0.665,f,f,0,f,240.0,237,-
a,30.58,10.665,0.085,f,t,12,t,129.0,3,-
b,19.42,7.25,0.04,f,t,1,f,100.0,1,-
a,17.92,10.21,0.0,f,f,0,f,0.0,50,-
a,20.08,1.25,0.0,f,f,0,f,0.0,0,-
b,19.5,0.29,0.29,f,f,0,f,280.0,364,-
b,27.83,1.0,3.0,f,f,0,f,176.0,537,-
b,17.08,3.29,0.335,f,f,0,t,140.0,2,-
b,36.42,0.75,0.585,f,f,0,f,240.0,3,-
b,40.58,3.29,3.5,f,f,0,t,400.0,0,-
b,21.08,10.085,1.25,f,f,0,f,260.0,0,-
a,22.67,0.75,2.0,f,t,2,t,200.0,394,-
a,25.25,13.5,2.0,f,t,1,t,200.0,1,-
b,17.92,0.205,0.04,f,f,0,f,280.0,750,-
b,35.0,3.375,8.29,f,f,0,t,0.0,0,-
